,Min #Rec,AVG #Rec,Median #Rec,Max. #Rec,Min. PT (ms),AVG PT (ms),Median PT (ms),Max (ms),Min. SD (ms),AVG SD (ms),Median SD (ms),Max. SD (ms),Throughput (MBps)
1,18427,158742,156220,385440,700,1883,1802,4035,0,448,251,3968,727
,Min #Rec,AVG #Rec,Median #Rec,Max. #Rec,Min. PT (ms),AVG PT (ms),Median PT (ms),Max (ms),Min. SD (ms),AVG SD (ms),Median SD (ms),Max. SD (ms),Throughput (MBps)
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Min #Rec,AVG #Rec,Median #Rec,Max. #Rec,Min. PT (ms),AVG PT (ms),Median PT (ms),Max (ms),Min. SD (ms),AVG SD (ms),Median SD (ms),Max. SD (ms),Throughput (MBps)
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Min #Rec,AVG #Rec,Median #Rec,Max. #Rec,Min. PT (ms),AVG PT (ms),Median PT (ms),Max (ms),Min. SD (ms),AVG SD (ms),Median SD (ms),Max. SD (ms),Throughput (MBps)
1,18427,158742,156220,385440,700,1883,1802,4035,0,448,251,3968,727
,Min #Rec,AVG #Rec,Median #Rec,Max. #Rec,Min. PT (ms),AVG PT (ms),Median PT (ms),Max (ms),Min. SD (ms),AVG SD (ms),Median SD (ms),Max. SD (ms),Throughput (MBps)
1,27644,149445,148978,316084,841,1878,1791,4004,0,511,277,3301,684
